arxiv_id,title,authors,abstract,published_date,updated_date,categories,pdf_url,page_url,doi,journal_ref,event,event_edition,category_source,scraped_at
2404.05826v1,Decade-long Utilization Patterns of ICSE Technical Papers and Associated  Artifacts,Sharif Ahmed; Rey Ortiz; Nasir U. Eisty,"Context: Annually, ICSE acknowledges a range of papers, a subset of which are paired with research artifacts such as source code, datasets, and supplementary materials, adhering to the Open Science Policy. However, no prior systematic inquiry dives into gauging the influence of ICSE papers using artifact attributes. Objective: We explore the mutual impact between artifacts and their associated papers presented at ICSE over ten years.  Method: We collect data on usage attributes from papers and their artifacts, conduct a statistical assessment to identify differences, and analyze the top five papers in each attribute category.  Results: There is a significant difference between paper citations and the usage of associated artifacts. While statistical analyses show no notable difference between paper citations and GitHub stars, variations exist in views and/or downloads of papers and artifacts.  Conclusion: We provide a thorough overview of ICSE's accepted papers from the last decade, emphasizing the intricate relationship between research papers and their artifacts. To enhance the assessment of artifact influence in software research, we recommend considering key attributes that may be present in one platform but not in another.",2024-04-08,2024-04-08,cs.SE,http://arxiv.org/pdf/2404.05826v1,http://arxiv.org/abs/2404.05826v1,,,ICSE,2024,cs.SE,2025-09-09T07:36:32.483356
2207.12578v1,A Retrospective on ICSE 2022,Cailin Winston; Caleb Winston; Chloe Winston; Claris Winston; Cleah Winston,"The 44th International Conference on Software Engineering (ICSE 2022) was held in person from May 22 to May 27, 2022 in Pittsburgh, PA, USA. Here, we summarize themes of research and the direction of research in the field of software engineering and testing that we observed at the conference.",2022-07-26,2022-07-26,"cs.SE, cs.HC, cs.LG, cs.PL",http://arxiv.org/pdf/2207.12578v1,http://arxiv.org/abs/2207.12578v1,,,ICSE,2024,cs.SE,2025-09-09T07:36:32.483497
2007.15987v1,Genetic Improvement @ ICSE 2020,William B. Langdon; Westley Weimer; Justyna Petke; Erik Fredericks; Seongmin Lee; Emily Winter; Michail Basios; Myra B. Cohen; Aymeric Blot; Markus Wagner; Bobby R. Bruce; Shin Yoo; Simos Gerasimou; Oliver Krauss; Yu Huang; Michael Gerten,"Following Prof. Mark Harman of Facebook's keynote and formal presentations (which are recorded in the proceedings) there was a wide ranging discussion at the eighth international Genetic Improvement workshop, GI-2020 @ ICSE (held as part of the 42nd ACM/IEEE International Conference on Software Engineering on Friday 3rd July 2020). Topics included industry take up, human factors, explainabiloity (explainability, justifyability, exploitability) and GI benchmarks. We also contrast various recent online approaches (e.g. SBST 2020) to holding virtual computer science conferences and workshops via the WWW on the Internet without face-2-face interaction. Finally we speculate on how the Coronavirus Covid-19 Pandemic will affect research next year and into the future.",2020-07-31,2020-07-31,"cs.SE, cs.AI, cs.NE",http://arxiv.org/pdf/2007.15987v1,http://arxiv.org/abs/2007.15987v1,,,ICSE,2024,cs.SE,2025-09-09T07:36:32.483652
1911.11541v1,Does ICSE Accept the Right Contributions?,Lutz Prechelt,"Background: There is a constant discussion regarding whether the ICSE Technical Research track is accepting too many contributions of some type and too few of some other type.  Questions: Are ICSE and the contributions it is seeing well aligned with what is important for bringing software engineering forward?  Method: 26 expert interviews with senior members of the ICSE community, evaluated qualitatively and reported with many quotations.  Results: About three quarters of the respondents are not generally happy with ICSE's alignment. Two specific complaints that recur frequently concern a) many low-relevance contributions making it into the program and b) several types of high-relevance contributions hardly seen in the ICSE program.",2019-11-25,2019-11-25,cs.SE,http://arxiv.org/pdf/1911.11541v1,http://arxiv.org/abs/1911.11541v1,,,ICSE,2024,cs.SE,2025-09-09T07:36:32.483733
2505.17802v1,Ten Years of Software Engineering in Society,Iffat Fatima; Patricia Lago,"In the international software engineering research community, the premier conference (ICSE) features since a decade a special track on the role of SE In Society (or SEIS track). In this work, we want to use the articles published in this track as a proxy or example of the research in this field, in terms of covered topics, trends, and gaps. Also, since SEIS was originally defined with a special focus on sustainability, we want to observe the evolution of the research in this respect. We conducted a mapping study of the 123 articles published in the SEIS track and among the results identified (i) trends pertaining sustainability, diversity and inclusion, and open-source software; (ii) gaps regarding concrete interventions to solve problems (e.g., workplace discrimination, the emotional well-being of developers); and (iii) a main sustainability focus in the social dimension, while the environmental dimension is the least frequently addressed. As future work, our aim is to stimulate discussion in the community and we hope to inspire replications of this work in other conference venues.",2025-05-23,2025-05-23,cs.SE,http://arxiv.org/pdf/2505.17802v1,http://arxiv.org/abs/2505.17802v1,,,ICSE,2024,cs.SE,2025-09-09T07:36:36.067591
2503.12312v1,FlakeRanker: Automated Identification and Prioritization of Flaky Job  Failure Categories,Henri Aïdasso,"This document presents the artifact associated with the ICSE SEIP 25 paper titled On the Diagnosis of Flaky Job Failures: Understanding and Prioritizing Failure Categories. The original paper identifies and analyzes 46 distinct categories of flaky job failures that developers encounter, using Recency (R), Frequency (F), and Monetary (M) measures. In addition, it uses an RFM clustering model to identify and prioritize the most wasteful and persistent. The original paper only discusses the rankings and evolution of the top 20 categories in the results. This artifact contains (1) the regex and scripts used to automate the labeling process for RQ1, (2) complete analysis results, including the ranking of all 46 categories by cost in RQ2 and the evolution of these categories over time in RQ3, and (3) the RFM dataset and scripts used to create the RFM clustering model for prioritization in RQ4. In addition, we engineered the labeling tool and the RFM-based prioritization methodology in a command-line interface (CLI) called FLAKERANKER to facilitate reuse and repurposing in future studies.",2025-03-16,2025-03-16,cs.SE,http://arxiv.org/pdf/2503.12312v1,http://arxiv.org/abs/2503.12312v1,,,ICSE,2024,cs.SE,2025-09-09T07:36:36.067695
2502.15599v2,"Bugfix: a standard language, database schema and repository for research  on bugs and automatic program repair",Victoria Kananchuk; Ilgiz Mustafin; Bertrand Meyer,"Automatic Program Repair (APR) is a brilliant idea: when detecting a bug, also provide suggestions for correcting the program. Progress towards that goal is hindered by the absence of a common frame of reference for the multiplicity of APR ideas, methods, tools, programming languages and environments.  Bugfix is an effort at providing such a framework: a standardized set of notations, tools and interfaces, as well as a database of bugs and fixes, for use by the APR research community to try out ideas and compare results.  The most directly visible component of the Bugfix effort is the Bugfix language, a human-readable formalism making it possible to describe elements of the following kinds: a bug (described abstractly, for example the permutation of two arguments in a call); a bug example (an actual occurrence of a bug, in a specific code written in a specific programming language, and usually recorded in some repository); a fix (a particular correction of a bug, obtained for example by reversing the misplaced arguments); an application (an entity that demonstrates how a actual code example matches with a fix); a construct (the abstract description of a programming mechanism, for example a ``while'' loop, independently of its realization in a programming language; and a language (a description of how a particular programming language includes certain constructs and provides specific concrete syntax for each of them -- for example Java includes loop, assignment etc. and has a defined format for each of them).  A JSON API provides it in a form accessible to tools. Bugfix includes a repository containing a considerable amount of bugs, examples and fixes.  Note: An early step towards this article was a short contribution (Ref [1]) to the 2024 ICSE. The present text reuses a few elements of introduction and motivation but is otherwise thoroughly reworked and extended.",2025-02-21,2025-02-27,cs.SE,http://arxiv.org/pdf/2502.15599v2,http://arxiv.org/abs/2502.15599v2,,,ICSE,2024,cs.SE,2025-09-09T07:36:36.067794
2412.06251v2,Fearless Unsafe. A More User-friendly Document for Unsafe Rust  Programming Base on Refined Safety Properties,Mohan Cui; Penglei Mao; Shuran Sun; Yangfan Zhou; Hui Xu,"Rust, a popular systems-level programming language, has garnered widespread attention due to its features of achieving run-time efficiency and memory safety. With an increasing number of real-world projects adopting Rust, understanding how to assist programmers in correctly writing unsafe code poses a significant challenge. Based on our observations, the current standard library has many unsafe APIs, but their descriptions are not uniform, complete, and intuitive, especially in describing safety requirements. Therefore, we advocate establishing a systematic category of safety requirements for revising those documents.  In this paper, we extended and refined our study in ICSE 2024. We defined a category of Safety Properties (22 items in total) that learned from the documents of unsafe APIs in the standard library. Then, we labeled all public unsafe APIs (438 in total) and analyzed their correlations. Based on the safety properties, we reorganized all the unsafe documents in the standard library and designed a consultation plugin into rust-analyzer as a complementary tool to assist Rust developers in writing unsafe code. To validate the practical significance, we categorized the root causes of all Rust CVEs up to 2024-01-31 (419 in total) into safety properties and further counted the real-world usage of unsafe APIs in the crates.io ecosystem.",2024-12-09,2024-12-19,cs.SE,http://arxiv.org/pdf/2412.06251v2,http://arxiv.org/abs/2412.06251v2,,,ICSE,2024,cs.SE,2025-09-09T07:36:36.067895
2404.06852v1,Research Artifacts in Software Engineering Publications: Status and  Trends,Mugeng Liu; Xiaolong Huang; Wei He; Yibing Xie; Jie M. Zhang; Xiang Jing; Zhenpeng Chen; Yun Ma,"The Software Engineering (SE) community has been embracing the open science policy and encouraging researchers to disclose artifacts in their publications. However, the status and trends of artifact practice and quality remain unclear, lacking insights on further improvement. In this paper, we present an empirical study to characterize the research artifacts in SE publications. Specifically, we manually collect 1,487 artifacts from all 2,196 papers published in top-tier SE conferences (ASE, FSE, ICSE, and ISSTA) from 2017 to 2022. We investigate the common practices (e.g., URL location and format, storage websites), maintenance activities (e.g., last update time and URL validity), popularity (e.g., the number of stars on GitHub and characteristics), and quality (e.g., documentation and code smell) of these artifacts. Based on our analysis, we reveal a rise in publications providing artifacts. The usage of Zenodo for sharing artifacts has significantly increased. However, artifacts stored in GitHub tend to receive few stars, indicating a limited influence on real-world SE applications. We summarize the results and provide suggestions to different stakeholders in conjunction with current guidelines.",2024-04-10,2024-04-10,cs.SE,http://arxiv.org/pdf/2404.06852v1,http://arxiv.org/abs/2404.06852v1,,,ICSE,2024,cs.SE,2025-09-09T07:36:36.067998
2310.16132v1,Diversity in Software Engineering Conferences and Journals,Aditya Shankar Narayanan; Dheeraj Vagavolu; Nancy A Day; Meiyappan Nagappan,"Diversity with respect to ethnicity and gender has been studied in open-source and industrial settings for software development. Publication avenues such as academic conferences and journals contribute to the growing technology industry. However, there have been very few diversity-related studies conducted in the context of academia. In this paper, we study the ethnic, gender, and geographical diversity of the authors published in Software Engineering conferences and journals. We provide a systematic quantitative analysis of the diversity of publications and organizing and program committees of three top conferences and two top journals in Software Engineering, which indicates the existence of bias and entry barriers towards authors and committee members belonging to certain ethnicities, gender, and/or geographical locations in Software Engineering conferences and journal publications. For our study, we analyse publication (accepted authors) and committee data (Program and Organizing committee/ Journal Editorial Board) from the conferences ICSE, FSE, and ASE and the journals IEEE TSE and ACM TOSEM from 2010 to 2022. The analysis of the data shows that across participants and committee members, there are some communities that are consistently significantly lower in representation, for example, publications from countries in Africa, South America, and Oceania. However, a correlation study between the diversity of the committees and the participants did not yield any conclusive evidence. Furthermore, there is no conclusive evidence that papers with White authors or male authors were more likely to be cited. Finally, we see an improvement in the ethnic diversity of the authors over the years 2010-2022 but not in gender or geographical diversity.",2023-10-24,2023-10-24,cs.SE,http://arxiv.org/pdf/2310.16132v1,http://arxiv.org/abs/2310.16132v1,,,ICSE,2024,cs.SE,2025-09-09T07:36:36.068178
